ball_x,ball_y,ball_dx,ball_dy,paddle_y,action
2.03,2.03,2,2,0,0
4.29,4.29,2,2,0,0
5.44,5.44,2,2,0,0
7.75,7.75,2,2,0,0
8.94,8.94,2,2,0,0
10.27,10.27,2,2,0,0
11.45,11.45,2,2,0,0
12.65,12.65,2,2,0,0
13.87,13.87,2,2,0,0
15.58,15.58,2,2,0,0
17.16,17.16,2,2,0,0
18.37,18.37,2,2,0,0
19.33,19.33,2,2,0,0
20.65,20.65,2,2,0,0
21.71,21.71,2,2,0,0
22.62,22.62,2,2,0,0
23.8,23.8,2,2,0,0
24.9,24.9,2,2,0,0
25.87,25.87,2,2,0,0
26.96,26.96,2,2,0,0
27.83,27.83,2,2,0,0
28.67,28.67,2,2,0,0
29.51,29.51,2,2,0,0
30.49,30.49,2,2,0,0
31.52,31.52,2,2,0,0
32.48,32.48,2,2,0,0
33.38,33.38,2,2,0,0
34.24,34.24,2,2,0,0
35.38,35.38,2,2,0,0
36.47,36.47,2,2,0,0
37.57,37.57,2,2,0,0
38.45,38.45,2,2,0,0
39.15,39.15,2,2,0,0
40.15,40.15,2,2,0,0
41.32,41.32,2,2,0,0
42.14,42.14,2,2,0,0
42.98,42.98,2,2,0,0
43.91,43.91,2,2,0,0
44.92,44.92,2,2,0,0
45.71,45.71,2,2,0,0
46.79,46.79,2,2,0,0
47.89,47.89,2,2,0,0
48.66,48.66,2,2,0,0
49.74,49.74,2,2,0,0
51.03,51.03,2,2,0,0
51.96,51.96,2,2,0,0
52.92,52.92,2,2,0,0
53.89,53.89,2,2,0,0
54.49,54.49,2,2,0,0
55.66,55.66,2,2,0,0
56.71,56.71,2,2,0,0
57.61,57.61,2,2,0,0
58.34,58.34,2,2,0,0
59.25,59.25,2,2,0,0
60.19,60.19,2,2,0,0
61.31,61.31,2,2,0,0
62.31,62.31,2,2,0,0
63.45,63.45,2,2,0,0
64.27,64.27,2,2,0,0
65.11,65.11,2,2,0,0
65.84,65.84,2,2,0,0
66.56,66.56,2,2,0,0
67.39,67.39,2,2,0,0
68.28,68.28,2,2,0,0
68.99,68.99,2,2,0,0
70.19,70.19,2,2,0,0
71.14,71.14,2,2,0,0
72.02,72.02,2,2,0,0
72.92,72.92,2,2,0,0
73.57,73.57,2,2,0,0
74.38,74.38,2,2,0,0
